Top Tracks
Track                                             Artist(s)

apathy                                            Gia Margaret
Kisses                                            Lomelda
Hannah Sun                                        Lomelda
1914                                              Florist
body                                              Gia Margaret
Brazos River                                      Lomelda
barely there                                      Gia Margaret
INWIW                                             Gia Margaret
Wonder                                            Lomelda
for Zoya in China                                 Gia Margaret
Vacation                                          Florist
Columbia River                                    Lomelda
It's Lomelda                                      Lomelda
no sleep no dream                                 Gia Margaret
lesson                                            Gia Margaret
3 movements                                       Gia Margaret
Polyurethane                                      Lomelda
lakes                                             Gia Margaret
Stranger Sat By Me                                Lomelda
Hannah Happiest                                   Lomelda
The Birds Outside Sang                            Florist
sadballad                                         Gia Margaret
Reach                                             Lomelda
Rings Grow                                        Florist
It's Infinite                                     Lomelda
Impostor Syndrome                                 Sidney Gish
ash                                               Gia Margaret
White Light Doorway                               Florist
M for Me                                          Lomelda
Sing for Stranger                                 Lomelda
Tommy Dread                                       Lomelda
Interstate Vision                                 Lomelda
Big Shot                                          Lomelda
Both Mode                                         Lomelda
Con S Sewer                                       Anna McClellan
Dark Light                                        Florist
Not but for You, Bunny                            Sidney Gish
Hannah Please                                     Lomelda
M                                                 Florist
Bambi                                             Clairo
Talk                                              Lomelda
Sin Triangle                                      Sidney Gish
True                                              skirts
If Blue Could Be Happiness                        Florist
Back Out                                          skirts
Just For Today                                    Clairo
Cool and Refreshing                               Florist
Interstate Vision - Audiotree Live Version        Lomelda
Presumably Dead Arm (617 Sessions)                Sidney Gish
Worse Than Steve                                  Chalk Talk
